id	file	offset	src	tgt	hex_len
sys_024	SYSTEM/DEMO.EMI	43948	方向キー上下左右でななめ移動に設定できます\n>フィールド移動のみ ゆうこうです	方向键上下左右可设置斜向移动\n>仅在地图移动时有效	52
sys_025	SYSTEM/DEMO.EMI	44001	メッセージスピードを へんこうします	更改消息显示速度	18
sys_026	SYSTEM/DEMO.EMI	44020	サウンド設定を へんこうします	更改声音设置	17
sys_027	SYSTEM/DEMO.EMI	44038	BGMのボリュームを 調整します	调整BGM音量	18
sys_028	SYSTEM/DEMO.EMI	44057	SEのボリュームを 調整します	调整SE音量	17
sys_029	SYSTEM/DEMO.EMI	44075	すべての設定を 初期化しました	所有设置已重置	20
sys_030	SYSTEM/DEMO.EMI	44096	方向キー上下：コマンドを選択\n{色0A}	方向键上下：选择指令\n{色0A}	24
sys_031	SYSTEM/DEMO.EMI	44121	{/色}：決定\n{色0A}×{/色}：ゲーム設定の終了	{/色}：确定\n{色0A}×{/色}：退出游戏设置	25
sys_032	SYSTEM/DEMO.EMI	44147	方向キー上下：設定かしょの選択\n方向キー左右：設定のへんこう\n{色0A}×{/色}：キャンセル	方向键上下：选择设置项\n方向键左右：更改设置\n{色0A}×{/色}：取消	56
sys_033	SYSTEM/DEMO.EMI	44204	方向キー左右：ボタン設定の選択\n \n{色0A}×{/色}：ゲーム設定画面に戻る（決定）	方向键左右：选择按键设置\n \n{色0A}×{/色}：返回游戏设置（确定）	53
sys_034	SYSTEM/DEMO.EMI	44258	方向キー：画面ポジションの調整\n \n{色0A}×{/色}：ゲーム設定画面に戻る（決定）	方向键：调整画面位置\n \n{色0A}×{/色}：返回游戏设置（确定）	51
sys_035	SYSTEM/DEMO.EMI	44310	    並びかえ	    排序	9
sys_036	SYSTEM/DEMO.EMI	44320	サブ画面	副画面	6
sys_037	SYSTEM/DEMO.EMI	44327	アクション	动作	5
sys_038	SYSTEM/DEMO.EMI	44333	·キャンセル	·取消	6
sys_039	SYSTEM/DEMO.EMI	44340	STARTボタン    ポーズ	START键      暂停	15
sys_040	SYSTEM/DEMO.EMI	44356	SELECTボタン   ヘルプ	SELECT键     帮助	15
sys_041	SYSTEM/DEMO.EMI	44372	タイプ1\n>方向キー左右で タイプを選んでください	类型1\n>请用方向键左右选择类型	31
sys_042	SYSTEM/DEMO.EMI	44404	タイプ2\n>方向キー左右で タイプを選んでください	类型2\n>请用方向键左右选择类型	31
sys_043	SYSTEM/DEMO.EMI	44436	タイプ3\n>方向キー左右で タイプを選んでください	类型3\n>请用方向键左右选择类型	31
sys_044	SYSTEM/DEMO.EMI	44468	タイプ4\n>方向キー左右で タイプを選んでください	类型4\n>请用方向键左右选择类型	31
sys_045	SYSTEM/DEMO.EMI	44514	会話·決定	对话·确定	9
sys_046	SYSTEM/DEMO.EMI	44530	{色0A}△{/色}	{色0A}△{/色}	5
sys_047	SYSTEM/DEMO.EMI	44536	{色0A}□{/色}	{色0A}□{/色}	5
sys_048	SYSTEM/DEMO.EMI	44542	{色0A}×{/色}	{色0A}×{/色}	5
sys_049	SYSTEM/DEMO.EMI	44558	方向キーで 画面フレームを調整してください\n>{色0A}×{/色}で 終了（決定）	请用方向键调整画面边框\n>{色0A}×{/色}结束（确定）	47
sys_050	SYSTEM/DEMO.EMI	44608	‥とりけし	…删除	5
sys_051	SYSTEM/DEMO.EMI	44614	‥すすむ	…前进	4
sys_052	SYSTEM/DEMO.EMI	44619	‥もどる	…返回	4
sys_053	SYSTEM/DEMO.EMI	44624	‥はじめる	…开始	5
sys_054	SYSTEM/DEMO.EMI	44636	』{/色}でよろしいですか	』{/色}确定吗？	11
sys_055	SYSTEM/DEMO.EMI	44648	方向キー ：カーソルの移動\nL1·L2/R1·R2\n     ：文字種きりかえ\n---\nDEL：文字をけす\nBK ：名前入力をやめる\nOK ：名前の決定	方向键：移动光标\nL1·L2/R1·R2\n     ：切换文字种类\n---\nDEL：删除文字\nBK ：取消名字输入\nOK ：确定名字	89
sys_056	SYSTEM/DEMO.EMI	44738	カーソルが合っている 文字をけします	删除光标所在处的文字	21
sys_057	SYSTEM/DEMO.EMI	44760	前の画面に戻ります	返回上一个画面	13
sys_058	SYSTEM/DEMO.EMI	44774	名前を決定します	确定名字	12
sys_059	SYSTEM/DEMO.EMI	44787	プレイヤーの 名前を決めてください	请决定玩家的名字	20
sys_060	SYSTEM/DEMO.EMI	44808	{占位01}の あだ名を決めてください	请决定{占位01}的昵称	17
sys_061	SYSTEM/DEMO.EMI	44831	どこでもメニューモード\nメニューをえらんでね{码14810C93}しゅくはくする\nセーブ\nやめておく	随处菜单模式\n请选择菜单{码14810C93}住宿\n存档\n退出	43
